id,name,dutch_name
964,background,achtergrond
0,Haemorhous cassinii,Cassins roodmus
1,Aramus guarauna,Koerlan
2,Rupornis magnirostris,Wegbuizerd
3,Cyanocitta cristata,Blauwe gaai
4,Cyanocitta stelleri,Stellers gaai
5,Balearica regulorum,Grijze kroonkraanvogel
6,Pyrocephalus rubinus,Scharlaken tiran
7,Recurvirostra americana,Amerikaanse kluut
8,Ardeotis kori,Koritrap
9,Pica nuttalli,Geelsnavelekster
10,Perisoreus canadensis,Canadese taigagaai
11,Antigone canadensis,Canadese kraanvogel
12,Parkesia noveboracensis,Noordse waterlijster
13,Ardea herodias occidentalis,404
14,Porzana carolina,Soraral
15,Anas platyrhynchos diazi,404
16,Motacilla cinerea,Grote gele kwikstaart
17,Empidonax difficilis,Oeverfeetiran
18,Empidonax minimus,Kleine feetiran
19,Empidonax fulvifrons,Blonde feetiran
20,Empidonax traillii,Wilgenfeetiran
21,Empidonax hammondii,Sparrenfeetiran
22,Empidonax occidentalis,Hooglandfeetiran
23,Rallus limicola,Virginiaral
24,Grus grus,Kraanvogel (vogel)
25,Quiscalus major,Bootstaarttroepiaal
26,Branta leucopsis,Brandgans
27,Cyanocorax yucatanicus,Yucatángaai
28,Cyanocorax yncas,Incagaai
29,Oceanites oceanicus,Wilsons stormvogeltje
30,Quiscalus niger,Antilliaanse troepiaal
31,Psilorhinus morio,Bruine gaai
32,Megarynchus pitangua,Bootsnaveltiran
33,Gallinula tenebrosa,Zwart waterhoen
34,Gallus gallus domesticus,Kip (vogel)
35,Numida meleagris,Helmparelhoen
36,Junco hyemalis caniceps,404
37,Tyrannus vociferans,Cassins koningstiran
38,Tyrannus tyrannus,Koningstiran
39,Tyrannus forficatus,Zwaluwstaartkoningstiran
40,Tyrannus crassirostris,Diksnavelkoningstiran
41,Tyrannus verticalis,Arkansaskoningstiran
42,Tyrannus savana,Vorkstaartkoningstiran
43,Gallirallus australis,Weka
44,Calocitta formosa,Ekstergaai
45,Calocitta colliei,Collies ekstergaai
46,Fulica americana,Amerikaanse meerkoet
47,Pachyramphus aglaiae,Grote bekarde
48,Buteo lagopus,Ruigpootbuizerd
49,Cygnus atratus,Zwarte zwaan
50,Philesturnus rufusater,Noordelijke zadelrug
51,Larus marinus,Grote mantelmeeuw
52,Pitangus sulphuratus,Grote kiskadie
53,Anas rubripes,Amerikaanse zwarte eend
54,Anthus novaeseelandiae novaeseelandiae,404
55,Sayornis phoebe,Phoebe (vogel)
56,Sayornis nigricans,Zwarte phoebe
57,Tityra semifasciata,Maskertityra
58,Dryocopus lineatus,Gestreepte helmspecht
59,Porphyrio melanotus,Australische purperkoet
60,Anas bahamensis,Bahamapijlstaart
61,Egretta novaehollandiae,Witwangreiger
62,Anas crecca carolinensis,404
63,Alectoris chukar,Aziatische steenpatrijs
64,Tachybaptus dominicus,Amerikaanse dodaars
65,Artemisiospiza belli,Bells gors
66,Gallus gallus,Bankivahoen
67,Cardinalis sinuatus,Grijze kardinaal
68,Cardinalis cardinalis,Rode kardinaal
69,Melospiza lincolnii,Lincolns gors
70,Podilymbus podiceps,Dikbekfuut
71,Melospiza georgiana,Moerasgors
72,Meleagris gallopavo,Kalkoen (dier)
73,Meleagris ocellata,Pauwkalkoen
74,Lagopus lagopus,Moerassneeuwhoen
75,Spizella atrogularis,Zwartkingors
76,Pyrrhocorax graculus,Alpenkauw
77,Spizella breweri,Brewers gors
78,Sialia currucoides,Bergsialia
79,Spizella pusilla,Veldgors
80,Anas superciliosa,Wenkbrauweend
81,Passerella iliaca,Rode roodstaartgors
82,Phoenicopterus ruber,Rode flamingo
83,Sylvia atricapilla,Zwartkop
84,Vireo bellii,Bells vireo
85,Vireo plumbeus,Loodkleurige vireo
86,Vireo philadelphicus,Philadelphiavireo
87,Vireo flavifrons,Citroenborstvireo
88,Vireo olivaceus,Roodoogvireo
89,Zonotrichia querula,Zwartkruingors
90,Vireo huttoni,Huttons vireo
91,Zonotrichia albicollis,Witkeelgors
92,Zonotrichia atricapilla,Goudkruingors
93,Emberiza citrinella,Geelgors
94,Bucephala islandica,IJslandse brilduiker
95,Emberiza schoeniclus,Rietgors
96,Vireo gilvus,Orpheusvireo
97,Serinus serinus,Europese kanarie
98,Serinus mozambicus,Mozambiquesijs
99,Lophura leucomelanos,Nepalfazant
100,Euphonia elegantissima,Blauwkaporganist
101,Euphonia hirundinacea,Geelkeelorganist
102,Euphonia affinis,Struikorganist
103,Agelaius tricolor,Driekleurtroepiaal
104,Momotus lessonii,Lessons motmot
105,Zosterops japonicus,Zangbrilvogel
106,Phalacrocorax pelagicus,Pelagische aalscholver
107,Icterus cucullatus,Maskertroepiaal
108,Icterus graduacauda,Zwartkoptroepiaal
109,Motacilla aguimp,Afrikaanse bonte kwikstaart
110,Anas superciliosa × platyrhynchos,Wenkbrauweend (platyrhynchos)
111,Icterus pustulatus,Vlekrugtroepiaal
112,Icterus gularis,Altamiratroepiaal
113,Carduelis cannabina,Kneu
114,Catharus minimus,Grijswangdwerglijster
115,Amaurornis phoenicurus,Witborstwaterhoen
116,Pavo cristatus,Blauwe pauw
117,Rallus crepitans,Klapperral
118,Nestor meridionalis septentrionalis,404
119,Pipilo chlorurus,Groenstaarttowie
120,Pipilo maculatus,Gevlekte towie
121,Pipilo erythrophthalmus,Roodflanktowie
122,Cairina moschata domestica,404
123,Phalacrocorax varius,Bonte aalscholver
124,Picoides dorsalis,Amerikaanse drieteenspecht
125,Picoides nuttallii,Nuttalls specht
126,Picoides scalaris,Ladderspecht
127,Callipepla gambelii,Gambels kuifkwartel
128,Pyrrhula pyrrhula,Goudvink
129,Phalacrocorax brasilianus,Bigua-aalscholver
130,Picoides pubescens,Donsspecht
131,Colinus virginianus,Bobwhite
132,Sporophila torqueola,Kaneelstuitdikbekje
133,Picoides villosus,Haarspecht
134,Calidris pusilla,Grijze strandloper
135,Picoides arcticus,Zwartrugspecht
136,Aythya marila,Topper (vogel)
137,Phaethon aethereus,Roodsnavelkeerkringvogel
138,Sturnella magna,Witkaakweidespreeuw
139,Melopsittacus undulatus,Grasparkiet
140,Aythya affinis,Kleine topper
141,Aythya novaeseelandiae,Nieuw-Zeelandse topper
142,Cyrtonyx montezumae,Montezumabergkwartel
143,Pelecanus occidentalis,Bruine pelikaan
144,Cinclus cinclus,Waterspreeuw
145,Chen rossii,Ross' gans
146,Callipepla californica,Californische kuifkwartel
147,Quiscalus quiscula,Glanstroepiaal
148,Quiscalus mexicanus,Langstaarttroepiaal
149,Callipepla squamata,Geschubde kwartel
150,Dryocopus pileatus,Noord-Amerikaanse helmspecht
151,Passerina caerulea,Blauwe bisschop
152,Amazilia beryllina,Berylamazilia
153,Geothlypis trichas,Gewone maskerzanger
154,Trogon melanocephalus,Zwartkoptrogon
155,Sylvia communis,Grasmus
156,Pinicola enucleator,Haakbek
157,Coccothraustes vespertinus,Avonddikbek
158,Coccothraustes coccothraustes,Appelvink
159,Vermivora chrysoptera,Geelvleugelzanger
160,Opisthocomus hoazin,Hoatzin (soort)
161,Setophaga coronata coronata,404
162,Diglossa baritula,Mexicaanse berghoningkruiper
163,Saltator coerulescens,Amazonische grijze saltator
164,Saltator atriceps,Zwartkopsaltator
165,Sicalis flaveola,Gewone saffraangors
166,Aix galericulata,Mandarijneend
167,Junco hyemalis hyemalis,404
168,Eupsittula canicularis,Ivooraratinga
169,Microcarbo melanoleucos,Kleine bonte aalscholver
170,Piranga rubra,Zomertangare
171,Piranga olivacea,Zwartvleugeltangare
172,Piranga flava,Laaglandlevertangare
173,Amphispiza bilineata,Zwartkeelgors
174,Larus dominicanus,Kelpmeeuw
175,Piaya cayana,Eekhoornkoekoek
176,Aimophila ruficeps,Roestkruingors
177,Melanerpes lewis,Lewis' specht
178,Melanerpes uropygialis,Gilaspecht
179,Passerculus sandwichensis,Savannahgors
180,Melanerpes pucherani,Zwartwangspecht
181,Salpinctes obsoletus,Amerikaanse rotswinterkoning
182,Melanerpes carolinus,Roodbuikspecht
183,Melanerpes chrysogenys,Goudwangspecht
184,Melanerpes formicivorus,Eikelspecht
185,Colaptes auratus,Gouden grondspecht
186,Basileuterus rufifrons,Roodkapzanger
187,Larus michahellis,Geelpootmeeuw
188,Ramphocelus passerinii,Roodrugtangare
189,Athene cunicularia,Holenuil
190,Branta hutchinsii,Kleine Canadese gans
191,Fringilla montifringilla,Keep (vogel)
192,Fringilla coelebs,Vink (vogel)
193,Junco hyemalis,Grijze junco
194,Cuculus canorus,Koekoek (vogel)
195,Junco phaeonotus,Geeloogjunco
196,Ammodramus nelsoni,Nelsons spitsstaartgors
197,Ammodramus savannarum,Sprinkhaangors
198,Ammodramus maritimus,Kweldergors
199,Coccyzus erythropthalmus,Zwartsnavelkoekoek
200,Coccyzus minor,Mangrovekoekoek
201,Coccyzus americanus,Geelsnavelkoekoek
202,Nucifraga columbiana,Grijze notenkraker
203,Crotophaga sulcirostris,Groefsnavelani
204,Pooecetes gramineus,Avondgors
205,Arremonops rufivirgatus,Olijfgors
206,Geococcyx californianus,Grote renkoekoek
